portfolio_company,initial_acquisition_date,geographic_region,fair_value,asset_class,principal_amount,shares_units,industry,part,table_index,row_index,cost
"Alliant, Inc. — Class A-1 Common",12/12/2024,North America,22430562,,,2000000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,20,10000000
"Avathon Oculus IT Co-Investor, LLC",4/21/2025,North America,33544522,,,27000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,21,27000000
"BayHawk Fund I Aeroplane SPV, LLC",12/20/2024,North America,7042466,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,22,7131022
"BPCP NSA Holdings, Inc. — Common",5/15/2024,North America,3770096,,,3000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,23,3000000
"BSP-TS Co-Invest I, LLC",1/7/2022,North America,33319,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,25,5204646
"Cape One Alpha Investment Holdings LLC — Series A, 8.00% PIK",9/5/2025,North America,16500000,,,16500000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,26,16500000
"Circle Pharma, Inc. — Series D, 8.00% PIK",8/29/2024,North America,10000000,,,15931176,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,27,10000000
Earned Growth Investors I LP,12/3/2024,North America,16759917,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,28,12625000
"Echo Buyout ll, L.P.",3/19/2026,North America,39803172,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,29,40376987
"Echo Buyout, L.P.",10/15/2025,North America,10262484,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,30,10027994
"Entro Co-Invest, LP — Class A Common",10/24/2025,Europe,9014544,,,7725,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,31,9059569
"EPP Holdings, LLC",1/7/2022,North America,4152761,,,260000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,32,2605817
"Fairview Applied 2025, L.P.",6/5/2025,North America,7784993,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,33,7583333
"Founders Circle Capital Co-Invest Series, L.P. — Series 10",3/14/2025,North America,31419017,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,34,20000000
"Franklin Ventures Investments, L.P. — Opportunities Fund Series VI",4/17/2025,North America,9001147,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,35,10000000
"Gallant Screening Holdco, Inc.",1/7/2022,North America,6468593,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,36,4645007
GC Ferry Co-Invest II LP,7/31/2025,North America,20419980,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,37,16200000
GHW Ventures LP — SCMF ModRetro Series A,3/12/2026,North America,2940000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,38,2940000
"GSP Sarasota Co-Invest Fund, L.P.",3/5/2026,North America,10190207,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,39,10190207
"Haveli Aston Co-Invest, L.P.",5/28/2025,North America,16464190,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,40,10805546
"Haveli Cascade Co-Invest l, L.P.",9/19/2025,North America,20002820,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,41,20039162
"Health Velocity Capital IVX Special Situation Fund, L.P.",5/22/2024,North America,28045054,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,9,42,13575000
"HiBid Aggregator, LP",9/25/2024,North America,14164153,,,10000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,2,10000000
"HP Prestige Co-Invest Blocker Aggregator, LP",7/18/2025,North America,13265122,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,3,13000000
"Insight Hideaway Aggregator, L.P.",4/3/2024,North America,14536898,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,4,10400000
"JFL-Tiger Co-Invest Partners, L.P.",7/31/2024,North America,17445478,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,5,8122426
"Khosla Ventures OAI, LLC",10/1/2024,North America,54311091,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,6,15003704
Klick Ventures Inc. Class F — Common,11/5/2025,North America,5000000,,,5000000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,7,5000000
KRC PEX Feeder Blocked LP,11/26/2025,North America,15094458,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,8,14890016
"KRESA Co-Invest, L.P.",12/22/2025,North America,5000000,,,5000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,9,5000000
"Liberty Hall Capital Paxia Partners, L.P.",6/27/2025,North America,14928496,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,10,15000000
"Lightspeed SPV-A2, LLC",8/14/2025,North America,16994480,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,11,10061000
"Mahseer Holdings, LLC",3/11/2026,North America,50000000,,,1805,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,12,50000000
MCP Co-Investment Fund V Coöperatief U.A.,5/9/2025,Europe,9921711,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,13,7476426
MCP Co-Investment Fund VI Coöperatief U.A.,9/23/2025,Europe,11825410,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,14,11097345
"MDCP Co-Investors (Chicago-C), L.P.",10/28/2025,North America,35100674,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,15,30000000
Menlo Ridgeview Co-Invest LLC,5/16/2025,North America,48439721,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,16,50531704
"NEA CH 2026 SPV, L.P.",3/23/2026,North America,5013421,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,17,5000000
"NEA CH SPV, L.P.",5/9/2024,North America,14319910,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,18,10009678
"NEA PLA 2025 SPV, L.P.",4/3/2025,North America,12299365,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,19,10078591
"NEA TS 2024 SPV, L.P.",7/22/2024,North America,5470261,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,20,4013987
NoHo Holdings III LLC,12/3/2024,North America,37205,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,22,431416
"North American Essential Services Aggregator, LP",1/7/2022,North America,4553727,,,2684,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,23,4219307
"Novacap DI Co-Investment (All West), L.P.",10/3/2024,North America,5010804,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,24,4929214
"Novacap International TMT VI Co-Investment (NDT), L.P.",5/29/2025,North America,20995872,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,25,19450462
"Novacap International TMT VI Co-Investment (Igloo), L.P.",12/11/2025,North America,41397441,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,26,41402902
"OceanSound Partners Co-Invest II, LP — Series D",1/7/2022,North America,4458857,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,27,4097670
"Odyssey Investment Partners VI Mercalis Co-Invest, LP",6/9/2025,North America,19902450,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,28,20169131
"OEP VIII Project Laser Co-Investment Partners, L.P.",3/17/2023,North America,5544195,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,29,2560062
"Onward 2 Co-Invest Aggregator, L.P.",3/25/2026,North America,40209672,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,30,40209672
"PACT-Forge Co-Investment Fund, L.P.",11/7/2025,North America,902701,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,31,912980
"Paxia Holdings LP — Preferred, 15.00% PIK",6/26/2025,North America,10000000,,,100,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,32,10000000
"Project Silver Co-Invest, L.P.",12/4/2025,North America,25002934,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,33,25097442
PSC Tiger LP,9/4/2024,Europe,22021620,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,34,17978946
"RCAF CCG, L.P.",12/29/2025,North America,50000000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,35,50000000
"RCAF DAWGS, L.P.",3/26/2025,North America,17587321,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,36,15000000
"RCR Equity, LP — Class A Common",4/30/2024,North America,3131037,,,56000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,37,56000
"RCR Equity, LP — Class A Preferred, 8.00% PIK",4/30/2024,North America,2839016,,,5544000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,38,2839016
"Resurgens III Co-Invest A, L.P.",2/23/2026,North America,7500000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,11,39,7500000
"Revelar GSMS Fund, L.P.",3/31/2026,North America,75000000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,2,75000000
"SAS Vehicle I, L.P.",12/30/2024,North America,37442848,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,3,30190794
"Schulerhilfe Co-Invest, L.P.",5/13/2025,Europe,13068590,,,100000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,4,10319818
SDC Co-Invest Holdings LP,9/25/2025,North America,8823980,,,10000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,5,10081343
SEWP Co-Invest LP,10/8/2025,Europe,19648060,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,6,20196843
Smash Capital Trend Holdco SPV LP,8/12/2024,North America,43410343,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,7,20671271
Sprinkler 2024 Co-Investment I (Feeder) SCSp,3/10/2025,Europe,52218025,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,8,32513566
"TA Investors Thunderbolt, L.P.",1/29/2026,North America,14477967,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,9,14477966
"TCV Beat Co, L.P.",9/27/2024,Europe,6859651,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,10,5045751
"TCV Cedar Co, L.P.",10/24/2025,North America,11430464,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,11,10689998
"TCV Juniper Co, L.P.",5/19/2025,North America,4960762,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,12,5046906
Themis Solutions Inc. — Class G-1 Preferred,11/4/2025,North America,24999958,,,549049,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,13,24999958
"Tinicum Space Coast Co-Invest, LLC",10/29/2024,North America,35820163,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,14,30000000
"TPG Growth VI Iron CI, LP",10/15/2025,North America,50000000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,15,50000000
TPG IX Cardiff CI IV L.P.,12/29/2025,North America,30000000,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,16,25221583
"TSS Co-Invest Holdings, LP",9/9/2022,North America,8163811,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,17,5010222
T-X Ultra Co-Invest LP,6/27/2025,North America,27915448,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,18,25116667
VCF Compass Co-Investor Holdings II L.P.,3/19/2025,North America,1728953,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,19,1317088
VCF Compass Co-Investor Holdings L.P.,4/25/2024,North America,14411129,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,20,10000807
Violet Investors LP,9/12/2024,North America,39629891,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,21,12443147
Vitu Co-Invest LP,1/8/2025,North America,7027323,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,22,5250000
"WP Cubs Co-Investment, L.P.",3/16/2026,North America,50367350,,,50000000,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,23,50305320
XN Opportunities IX LP,11/4/2025,North America,9969027,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,24,10175000
XN Opportunities VIII LP,10/3/2025,North America,11906999,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,25,10025000
"XN Opportunities X, LP",3/30/2026,North America,5054364,,,,Equity Co-Investments — 31.5%,ea0289743-01_ncsr,13,26,5004000
"CCOF III Nexus Co-Invest Aggregator, L.P.",3/22/2024,Europe,5921200,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,31,3615905
"Cheval Blanc Co-Invest, L.P.",2/25/2025,North America,17154815,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,32,14649107
"Chrome Investors, LP",2/10/2025,North America,27681873,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,33,24006787
"Circle Pharma, Inc., Convertible Note, USD 8.00%, 10/1/2027",10/1/2025,North America,4972017,,5000000,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,34,5000000
"CP ACP, LLC, 13.75% PIK",6/12/2024,North America,5560000,,5560,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,35,5468260
"Term Loan, USD 13.75%, 4/05/2031",4/5/2024,North America,8300529,,8369421,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,37,8350486
"Delayed Draw, USD 13.75%, 4/05/2031",4/5/2024,North America,4558022,,4595852,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,38,4585201
"Term Loan, USD 12.75%, 4/05/2031",9/19/2025,North America,4462975,,4647770,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,39,4567393
"Delayed Draw, USD 12.75%, 4/05/2031",9/19/2025,North America,870111,,906139,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,40,890339
Gramercy PG Holdings II LP,8/20/2024,Europe,12147907,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,41,9828000
"Nader Upside 2 Sarl, EUR PIK Term Loan, 3 mo. EURIBOR+9.25%, 11.38% EUR, 3/13/30",3/14/2024,Europe,5382058,,4790924,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,13,42,5199392
"RCAF CCG, L.P.",12/29/2025,North America,70000000,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,15,2,70000000
"Symbiotic Capital EB Fund, L.P.",3/7/2024,North America,5779029,,,,Credit Co-Investments — 3.2%,ea0289743-01_ncsr,15,3,5061912
Dawson Partners Portfolio Finance Evergreen (Aggregator) Blocker LP,8/25/2025,North America,93164,,,,Private Equity — 0.0%,ea0289743-01_ncsr,15,7,4784
Cliffwater Corporate Lending Fund — Class I,,North America,99246704,,,9416196,Registered Funds — 1.8%,ea0289743-01_ncsr,15,11,100000000
"State Street Institutional U.S. Government Money Market Fund, 3.60%",,,250944884,,,250944844,Short-Term Investments — 4.6%,ea0289743-01_ncsr,15,15,250944884
